"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 498 Juta","Pulo Gadung, Jakarta Timur","","","","19 m²","37 m²"
"Rp 3,45 Miliar","Cilandak, Jakarta Selatan","4","4","2","94 m²","200 m²"
"Rp 30 Miliar","Pondok Indah, Jakarta Selatan","50","50","","517 m²","2417 m²"
"Rp 534 Juta","Kemayoran, Jakarta Pusat","2","2","","27 m²","42 m²"
"Rp 6,5 Miliar","Jelambar, Jakarta Barat","6","5","","258 m²","400 m²"
"Rp 1,85 Miliar","Jelambar, Jakarta Barat","3","3","","84 m²","189 m²"
"Rp 2,3 Miliar","Jelambar, Jakarta Barat","4","3","","55 m²","131 m²"
"Rp 1,14 Miliar","Cipinang, Jakarta Timur","2","2","1","36 m²","71 m²"
"Rp 920 Juta","Jatiwaringin, Jakarta Timur","3","3","","69 m²","65 m²"
"Rp 2,5 Miliar","Pondok Kelapa, Jakarta Timur","3","3","1","74 m²","150 m²"
"Rp 1,3 Miliar","Pondok Bambu, Jakarta Timur","3","2","","71 m²","60 m²"
"Rp 3,39 Miliar","Puri Mansion, Jakarta Barat","4","4","2","120 m²","200 m²"
"Rp 4,7 Miliar","Puri Mansion, Jakarta Barat","4","3","1","150 m²","280 m²"
"Rp 12,5 Miliar","Permata Buana, Jakarta Barat","4","3","","200 m²","700 m²"
"Rp 17,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","6","4","","325 m²","600 m²"
"Rp 5,9 Miliar","Cipete, Jakarta Selatan","4","3","1","144 m²","373 m²"
"Rp 5,9 Miliar","Permata Hijau, Jakarta Selatan","3","3","1","195 m²","350 m²"
"Rp 108 Miliar","Pantai Mutiara, Jakarta Utara","7","8","4","2700 m²","5000 m²"
"Rp 12,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","","","","260 m²","540 m²"
"Rp 2,35 Miliar","Pantai Indah Kapuk, Jakarta Utara","3","3","2","80 m²","98 m²"
"Rp 29 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","5","2","520 m²","1000 m²"
"Rp 2,1 Miliar","Jelambar, Jakarta Barat","4","3","1","66 m²","158 m²"
"Rp 1,9 Miliar","Duri Kepa, Jakarta Barat","3","3","","60 m²","117 m²"
"Rp 1,25 Miliar","Jagakarsa, Jakarta Selatan","3","3","1","77 m²","120 m²"
"Rp 5,5 Miliar","Jagakarsa, Jakarta Selatan","5","4","2","165 m²","300 m²"
"Rp 2,5 Miliar","Jagakarsa, Jakarta Selatan","5","4","2","126 m²","240 m²"
"Rp 2,2 Miliar","Jagakarsa, Jakarta Selatan","4","4","","139 m²","220 m²"
"Rp 3,7 Miliar","Jagakarsa, Jakarta Selatan","5","5","2","139 m²","240 m²"
"Rp 4,5 Miliar","Jagakarsa, Jakarta Selatan","5","4","","140 m²","270 m²"
"Rp 3,2 Miliar","Kalibata, Jakarta Selatan","4","3","1","216 m²","241 m²"
"Rp 155 Miliar","Menteng, Jakarta Pusat","1","","","1610 m²","3000 m²"
"Rp 9,85 Miliar","Kemandoran, Jakarta Selatan","5","3","2","231 m²","400 m²"
"Rp 1,85 Miliar","Jatinegara, Jakarta Timur","4","2","1","108 m²","160 m²"
"Rp 2,7 Miliar","Duren Sawit, Jakarta Timur","3","3","","171 m²","250 m²"
"Rp 2,5 Miliar","Rawamangun, Jakarta Timur","3","3","2","101 m²","170 m²"
"Rp 477 Juta","Sumur Batu, Jakarta Pusat","2","2","","22 m²","40 m²"
"Rp 32 Miliar","Kebayoran Baru, Jakarta Selatan","5","2","4","597 m²","350 m²"
"Rp 6,75 Miliar","Pantai Indah Kapuk, Jakarta Utara","4","4","2","180 m²","224 m²"
"Rp 14,5 Miliar","Gatot Subroto, Jakarta Selatan","12","13","8","510 m²","500 m²"
"Rp 4,79 Miliar","Permata Buana, Jakarta Barat","5","4","1","144 m²","250 m²"
"Rp 1,79 Miliar","Duri Kosambi, Jakarta Barat","3","3","","90 m²","100 m²"
"Rp 10 Miliar","Pantai Mutiara, Jakarta Utara","9","","","345 m²","700 m²"
"Rp 1,8 Miliar","Jelambar, Jakarta Barat","2","3","1","60 m²","106 m²"
"Rp 2,99 Miliar","Jelambar, Jakarta Barat","5","4","1","104 m²","310 m²"
"Rp 3 Miliar","Jelambar, Jakarta Barat","3","3","","120 m²","195 m²"
"Rp 2,6 Miliar","Jelambar, Jakarta Barat","4","3","","75 m²","150 m²"
"Rp 2,3 Miliar","Jelambar, Jakarta Barat","3","3","","55 m²","120 m²"
"Rp 3,35 Miliar","Jelambar, Jakarta Barat","3","2","","112 m²","180 m²"
"Rp 7,5 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","3","1","200 m²","420 m²"
"Rp 4,7 Miliar","Pantai Indah Kapuk, Jakarta Utara","","","","93 m²","189 m²"
"Rp 2,6 Miliar","Kembangan, Jakarta Barat","4","3","1","117 m²","177 m²"
"Rp 26,9 Miliar","Pantai Indah Kapuk, Jakarta Utara","5","7","2","455 m²","1000 m²"
