"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","hidden-sm","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Greenleaf Jagakarsa Residence","Jl Raya Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","3,00699 M","5","5","240 m²","Hubungi","Rp 34.563.103 per m²","",""
"Citra Garden City 2 Extension",". Jl. Peta Timur, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","4,3 M","3","3","193 m²","Hubungi","Rp 15.248.227 per m²","",""
"Rumah Cantik dekat Marunda","Cilincing, Jakarta Utara, DKI Jakarta","Rp","410 jt","2","1","36 m²","Hubungi","Rp 6.833.333 per m²","",""
"Jual Rumah Di Jagakarsa","Jalan M Kahfi 2 Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","3,3 M","5","5","250 m²","Hubungi","Rp 34.375.000 per m²","",""
"cp, rumah 2 lantai 4 kamar dalam cluster 1 pintu gerbang","Perumahan KOPTI Setu Jakarta Timur Blok A3 No.3, Cipayung, Jakarta Timur, DKI Jakarta","Rp","1,15 M","4","3","110 m²","Hubungi","Rp 14.743.590 per m²","",""
"Tebet","Tebet Timur, Tebet, Jakarta Selatan, Tebet Timur, Jakarta Selatan, DKI Jakarta","Rp","4,9 M","4","5","275 m²","Hubungi","Rp 32.666.667 per m²","",""
"Kemang","Kemang Utara VIII, Kemang, Jakarta Selatan, Kemang, Jakarta Selatan, DKI Jakarta","Rp","43 M","5","7","1280 m²","Hubungi","Rp 44.791.667 per m²","",""
"duri kepa","jl kepa duri mas blok M2 no.11, Duri Kepa, Jakarta Barat, DKI Jakarta","Rp","2,55 M","5","4","200 m²","Hubungi","Rp 26.288.660 per m²","",""
"duri kepa","jl palem 6 no.6, Duri Kepa, Jakarta Barat, DKI Jakarta","Rp","2,35 M","4","3","180 m²","Hubungi","Rp 35.606.061 per m²","",""
"Nego Ratusan Juta Rumah dijual Banyak Bonusnya di Jagakarsa","Paso Raya, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","3,35 M","4","4","185 m²","Hubungi","Rp 26.171.875 per m²","",""
"Rumah Siaphuni 750 Jt Mewah Akses Terbaik Di Dekat Jalan Raya Cibubur","Jl.Raya Cibubur Jalan Raya Utama Cibubur, Cibubur, Jakarta Timur, DKI Jakarta","Rp","750 jt","4","4","88 m²","Hubungi","Rp 10.869.565 per m²","",""
"Rumah Siaphuni Murah Mewah Akses Terbaik Di Dekat Jalan Raya Cibubur","Jl.Raya Utama Cibubur Jakarta Timur, Cibubur, Jakarta Timur, DKI Jakarta","Rp","750 jt","4","4","88 m²","Hubungi","Rp 10.869.565 per m²","",""
"Mandala Tomang jakarta barat","Mandala, Tomang, Jakarta Barat, DKI Jakarta","Rp","7,9 M","5","4","249 m²","Hubungi","Rp 19.036.145 per m²","",""
"Rumah Mewah Hook Di Villa Permata Gading Jakarta Utara","Jalan Permata Jamrud, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","9 M","5","4","575 m²","Hubungi","Rp 22.113.022 per m²","",""
"Bintaro Kel Pondok Betung, ,Kec. pondok Aren","Bintaro, Jakarta Selatan, DKI Jakarta","Rp","1,25 M","4","3","154 m²","Hubungi","Rp 8.333.333 per m²","",""
"Nego Ratusan Juta Rumah dijual di Perbatasan Jagakarsa - Cilandak Jakarta Selatan","Paso, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","4,8 M","5","5","293 m²","Hubungi","Rp 24.615.385 per m²","",""
"Cluster Jura Metland Menteng Jakarta Timur Dijual Rumah","Cakung, Jakarta Timur, DKI Jakarta","Rp","1,95 M","3","3","56 m²","Hubungi","Rp 20.312.500 per m²","",""
"Metland Menteng  Jakarta Timur Dijual Rumah","Cakung, Jakarta Timur, DKI Jakarta","Rp","1,75 M","2","2","69 m²","Hubungi","Rp 19.444.444 per m²","",""
"Rumah Mewah Hitung Tanah Termurah Di Kebayoran Baru","Jalan Widya Chandra V No. 2, Senayan, Jakarta Selatan, DKI Jakarta","Rp","100 M","7","5","703 m²","Hubungi","Rp 67.613.252 per m²","",""
"Rumah Mewah Harga Ekonomis Di Bukit Gading Mediterania","Jalan Casablanca IV Blok BH No. 31, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","8,25 M","5","4","670 m²","Hubungi","Rp 27.500.000 per m²","",""
"Rumah Dijual  Murah di Cluster Shinano Jakarta Garden City","JL Cakung Cilincing  km 0,5, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,65 M","3","2","68 m²","Hubungi","Rp 18.333.333 per m²","",""
"Rumah  Dijual Baru 3 Lantai “The Essence” Subsidi DP 10%  ,  di Jakarta Garden City","JL Cakung Cilincing KM 0,5, Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","1,6 M","3","3","74 m²","Hubungi","Rp 21.333.333 per m²","",""
"Kembangan jakarta","Kembangan, Jakarta Barat, DKI Jakarta","Rp","2,35 M","5","4","209 m²","Hubungi","Rp 13.583.815 per m²","",""
"Rumah Baru Tetangga Mabes Tni Jln Raya Cilangkap Cipayung Jakarta Timur 13870","Cipayung, Jakarta Timur, DKI Jakarta","Rp","800 jt","3","2","75 m²","Hubungi","Rp 8.888.889 per m²","",""
"Joglo","Joglo, Joglo, Jakarta Barat, DKI Jakarta","Rp","2,6 M","4","3","150 m²","Hubungi","Rp 23.214.286 per m²","",""
"Pantai Indah Kapuk - Cluster Katamaran","Jl. Pantai Indah Kapuk, Kapuk Muara, Jakarta Utara, DKI Jakarta","Rp","30 M","7","9","786 m²","Hubungi","Rp 38.216.561 per m²","",""
"Sahabat Property Jakarta","Lubang Buaya, Jakarta Timur, DKI Jakarta","Rp","750 jt","3","2","71 m²","Hubungi","Rp 20.270.270 per m²","",""
"Dijual Murah Rmh Pik 2 7, 5x10 hoek","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","1,9 M","2","2","90 m²","Hubungi","Rp 25.333.333 per m²","",""
"Tebet Timur","Tebet Timur, Tebet Timur, Jakarta Selatan, DKI Jakarta","Rp","6,5 M","5","4","200 m²","Hubungi","Rp 40.372.671 per m²","",""
"Tebet","Tebet Timur, Tebet, Jakarta Selatan, DKI Jakarta","Rp","2,8 M","7","5","200 m²","Hubungi","Rp 18.918.919 per m²","",""
"Rumah Siaphuni 680 Jt Di Cibubur","Jl.Cibubur Raya, Cibubur, Jakarta Timur, DKI Jakarta","","680","3","2","65 m²","Hubungi","Rp 9 per m²","",""
"Sunter","Sunter Permai Jaya, Sunter, Jakarta Utara, DKI Jakarta","Rp","8,5 M","7","6","400 m²","Hubungi","Rp 23.611.111 per m²","",""
"ANA*RUMAH COCOK USAHA UK 4. 5X17M 2. 5LT JALAN LEBAR DI JELAMBAR","Jelambar - W A - 0 8 5 2 1 5 0 5 1 1 2 2 - *ANA*., Jelambar, Jakarta Barat, DKI Jakarta","Rp","1,9 M","3","2","113 m²","Hubungi","Rp 25.000.000 per m²","",""
"Rumah Nuansa Bali 2 Lantai dekat Cibubur Akses Dekat Tol dan LRT","Cibubur, Cibubur, Jakarta Timur, DKI Jakarta","Rp","800 jt","3","2","56 m²","Hubungi","Rp 9.090.909 per m²","",""
"Rumah Modern Minimalis Di Jagakarsa Nyaman Dan Asri Dekat Tol Brigif","Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","1,55 M","4","4","140 m²","Hubungi","Rp 19.375.000 per m²","",""
"Rumah murah dam mewah 2 lantai di jl Nanas Jakarta Timur","Jl Catur tunggal Kebon Nanas jakarta Timur, Cipinang, Jakarta Timur, DKI Jakarta","Rp","822,575 jt","2","2","68 m²","Hubungi","Rp 24.926.515 per m²","",""
"Harga di bawah NJOP! Rumah lebar 20 di Perumahan Pulomas, Jakarta Timur","Perumahan Pulomas, Jakarta Timur, Pulomas, Jakarta Timur, DKI Jakarta","Rp","4 M","7","3","296 m²","Hubungi","Rp 13.513.514 per m²","",""
"Rujah paling murah 2 lantai di jl Angkasa akses motor di jakarta Pusat","Jl Angkasa jakarta pusat, Kemayoran, Jakarta Pusat, DKI Jakarta","Rp","534,879 jt","2","2","42 m²","Hubungi","Rp 19.810.333 per m²","",""
"Dijual Rumah di Taman Modern Jakarta Timur","Taman Modern, Jakarta Timur, DKI Jakarta","Rp","3 M","5","4","250 m²","Hubungi","Rp 14.705.882 per m²","",""
"Depok 1","Jl. Raya . Cagar alam Depok rawageni, Thamrin, Jakarta Pusat, DKI Jakarta","","350","2","1","40 m²","Hubungi","Rp 7 per m²","",""
"Taman ratu residance Depok lama","Jl. Raya ratu jaya Depok lama, Mangga Dua, Jakarta Barat, DKI Jakarta","","330","2","2","40 m²","Hubungi","Rp 7 per m²","",""
"Villa Kapuk Mas 1","Jl Kapuk Muara, Pejagalan, Penjaringan, Jakarta Utara, DKI Jakarta","Rp","2,9 M","3","3","200 m²","Hubungi","Rp 21.804.511 per m²","",""
"Dijual Rumah di Taman Modern Jakarta Timur","Taman Modern, Jakarta Timur, DKI Jakarta","Rp","3,8 M","4","2","202 m²","Hubungi","Rp 15.833.333 per m²","",""
"Di Jual Rumah Bagus Dan Cantik Di Kelapa Gading","Kelapa Gading, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","2,4 M","2","2","102 m²","Hubungi","Rp 23.529.412 per m²","",""
"Dijual Rumah di Taman Modern Jakarta Timur","Taman Modern, Jakarta Timur, DKI Jakarta","Rp","6,7 M","10","7","800 m²","Hubungi","Rp 11.166.667 per m²","",""
