,area,bed,bath,location,price
207,261.0,4,4,Jakarta,7500000000
208,261.0,4,4,Jakarta,7500000000
209,660.0,4,4,Jakarta,12500000000
210,70.0,2,3,Jakarta,1188860940
211,350.0,3,3,Jakarta,10300000000
212,136.0,3,3,Jakarta,2450000000
213,200.0,6,3,Jakarta,7500000000
214,839.0,9,8,Jakarta,30000000000
215,325.0,5,3,Jakarta,16000000000
216,360.0,3,3,Jakarta,8000000000
217,350.0,4,3,Jakarta,5500000000
218,1100.0,7,6,Jakarta,23000000000
219,300.0,4,3,Jakarta,9000000000
220,1300.0,6,5,Jakarta,80000000000
221,1300.0,7,2,Jakarta,37000000000
222,1000.0,3,1,Jakarta,32000000000
223,360.0,3,2,Jakarta,11000000000
224,450.0,4,3,Jakarta,16000000000
225,128.0,3,3,Jakarta,2900000000
226,98.0,2,2,Jakarta,2300000000
227,400.0,4,2,Jakarta,9500000000
228,53.0,2,2,Jakarta,1700000000
229,79.0,3,3,Jakarta,2700000000
230,540.0,6,9,Jakarta,12500000000
231,88.0,4,3,Jakarta,1800000000
232,105.0,3,3,Jakarta,2000000000
233,103.0,3,2,Jakarta,3000000000
234,300.0,4,3,Jakarta,7200000000
235,150.0,5,3,Jakarta,3500000000
236,120.0,3,2,Jakarta,3800000000
237,450.0,7,5,Jakarta,19000000000
238,230.0,5,4,Jakarta,5900000000
239,115.0,3,2,Jakarta,4200000000
240,800.0,4,3,Jakarta,14200000000
241,500.0,6,5,Jakarta,11000000000
242,650.0,4,3,Jakarta,24000000000
243,171.0,4,5,Jakarta,4000000000
244,171.0,4,5,Jakarta,4000000000
245,760.0,4,6,Jakarta,6000000000
246,127.0,3,2,Jakarta,2100000000
247,40.0,2,1,Jakarta,477000000
248,31.0,1,1,Jakarta,390000000
249,200.0,4,3,Jakarta,5100000000
250,36.0,2,1,Jakarta,500000000
251,250.0,5,4,Jakarta,2800000000
252,100.0,2,2,Jakarta,3200000000
253,220.0,4,4,Jakarta,4800000000
254,153.0,3,3,Jakarta,3650000000
255,180.0,4,3,Jakarta,2600000000
256,70.0,2,3,Jakarta,1100000000
257,90.0,3,2,Jakarta,1526200000
258,250.0,5,5,Jakarta,5400000000
259,268.0,4,3,Jakarta,1200000000
260,160.0,5,5,Jakarta,275000000
261,500.0,4,3,Jakarta,14000000000
262,300.0,4,3,Jakarta,10000000000
263,200.0,4,5,Jakarta,12500000000
264,87.0,4,4,Jakarta,750000000
265,88.0,4,4,Jakarta,750000000
266,120.0,3,3,Jakarta,1650000000
267,68.0,2,2,Jakarta,1400000000
268,140.0,4,4,Jakarta,1625000000
269,100.0,3,2,Jakarta,1050000000
270,200.0,4,4,Jakarta,3550000000
271,175.0,4,4,Jakarta,2500000000
272,576.0,8,6,Jakarta,15500000000
273,200.0,3,3,Jakarta,3250000000
274,160.0,4,2,Jakarta,1080000000
275,100.0,3,2,Jakarta,2400000000
276,200.0,5,4,Jakarta,2900000000
277,38.0,2,2,Jakarta,565000000
278,80.0,3,2,Jakarta,985000000
279,75.0,3,2,Jakarta,880000000
280,70.0,3,2,Jakarta,975000000
281,125.0,4,4,Jakarta,1800000000
282,200.0,3,3,Jakarta,5350000000
283,700.0,4,3,Jakarta,16500000000
284,400.0,4,3,Jakarta,7500000000
285,40.0,2,2,Jakarta,470000000
286,62.0,2,3,Jakarta,1100000000
287,42.0,2,2,Jakarta,520000000
288,42.0,2,2,Jakarta,490000000
289,68.0,2,2,Jakarta,760000000
290,90.0,4,4,Jakarta,2000000000
291,57.0,2,2,Jakarta,38587519561
292,72.0,2,2,Jakarta,1959000
293,96.0,2,2,Jakarta,1340000000
294,141.0,3,2,Jakarta,2800000000
295,100.0,3,3,Jakarta,2164000000
296,140.0,4,3,Jakarta,2625000000
297,85.0,4,3,Jakarta,38587519561
298,47.0,2,1,Jakarta,38587519561
299,57.0,2,2,Jakarta,38587519561
300,43.0,2,1,Jakarta,38587519561
301,65.0,2,2,Jakarta,920000000
302,57.0,2,2,Jakarta,38587519561
303,150.0,3,2,Jakarta,800000000
304,90.0,4,3,Jakarta,1500000000
305,190.0,3,3,Jakarta,5700000000
306,55.0,2,2,Jakarta,550000000
307,60.0,3,2,Jakarta,862550000
308,60.0,3,2,Jakarta,826800000
309,750.0,7,4,Jakarta,36000000000
310,1100.0,7,6,Jakarta,45000000000
311,21.0,1,1,Jakarta,324000000
312,104.0,3,3,Jakarta,3400000000
313,460.0,5,5,Jakarta,7800000000
314,300.0,5,5,Jakarta,9000000000
315,420.0,6,3,Jakarta,4000000000
316,200.0,5,2,Jakarta,990000000
317,200.0,4,2,Jakarta,1200000000
318,70.0,2,3,Jakarta,1100000000
319,96.0,4,3,Jakarta,2042080000
320,200.0,5,4,Jakarta,3850000000
321,45.0,2,1,Jakarta,38587519561
322,750.0,8,6,Jakarta,19500000000
323,350.0,4,4,Jakarta,8800000000
324,450.0,6,3,Jakarta,6500000000
325,342.0,6,7,Jakarta,8000000000
326,245.0,3,3,Jakarta,2900000000
327,95.0,4,3,Jakarta,1940000000
328,126.0,5,4,Jakarta,1900000000
329,90.0,2,2,Jakarta,1800000000
330,75.0,3,2,Jakarta,985000000
331,112.0,3,2,Jakarta,3200000000
332,150.0,4,3,Jakarta,1500000000
333,200.0,4,4,Jakarta,2400000000
334,100.0,4,3,Jakarta,2200000000
335,275.0,4,4,Jakarta,6000000000
336,375.0,6,6,Jakarta,14000000000
337,640.0,5,6,Jakarta,14000000000
338,140.0,4,4,Jakarta,1400000000
339,300.0,10,10,Jakarta,10000000000
340,140.0,4,4,Jakarta,1400000000
341,800.0,7,6,Jakarta,20000000000
342,93.0,4,3,Jakarta,1500000000
343,750.0,5,5,Jakarta,14000000000
344,120.0,3,3,Jakarta,1300000000
345,140.0,4,4,Jakarta,1975000000
346,200.0,5,5,Jakarta,4200000000
347,240.0,6,5,Jakarta,3700000000
348,240.0,5,5,Jakarta,2600000000
349,140.0,4,4,Jakarta,1975000000
350,110.0,3,3,Jakarta,1150000000
351,195.0,5,4,Jakarta,2550000000
352,150.0,4,4,Jakarta,1999999999
353,135.0,3,2,Jakarta,1150000000
354,214.0,6,6,Jakarta,5200000000
355,140.0,3,3,Jakarta,1450000000
356,150.0,4,4,Jakarta,2200000000
357,150.0,4,4,Jakarta,2025000000
358,263.0,5,6,Jakarta,5900000000
359,150.0,4,4,Jakarta,1900000000
360,285.0,6,6,Jakarta,4500000000
361,130.0,4,4,Jakarta,1600000000
362,125.0,4,4,Jakarta,3000000000
363,160.0,4,4,Jakarta,3150000000
364,290.0,5,4,Jakarta,4800000000
365,170.0,4,3,Jakarta,1980000000
366,150.0,4,4,Jakarta,1980000000
367,130.0,4,4,Jakarta,1700000000
368,190.0,4,4,Jakarta,2500000000
369,150.0,4,4,Jakarta,1950000000
370,220.0,4,4,Jakarta,2200000000
371,130.0,4,4,Jakarta,1950000000
372,240.0,5,5,Jakarta,3800000000
373,140.0,4,4,Jakarta,1700000000
374,80.0,3,3,Jakarta,1840000000
375,140.0,4,3,Jakarta,1625000000
376,200.0,1,3,Jakarta,2600000000
377,250.0,5,4,Jakarta,3099000000
378,125.0,5,4,Jakarta,3950000000
379,80.0,3,2,Jakarta,1690230000
380,1200.0,4,4,Jakarta,29000000000
381,180.0,4,4,Jakarta,4300000000
382,60.0,3,2,Jakarta,785500000
383,60.0,3,2,Jakarta,750000000
384,75.0,3,2,Jakarta,1189000000
385,122.0,4,4,Jakarta,2000000000
386,160.0,4,4,Jakarta,3350000000
387,200.0,5,4,Jakarta,4500000000
388,180.0,4,4,Jakarta,3700000000
389,255.0,5,3,Jakarta,7000000000
390,450.0,7,5,Jakarta,11000000000
391,600.0,6,5,Jakarta,42000000000
392,105.0,3,3,Jakarta,1305000000
393,60.0,3,2,Jakarta,825000000
394,72.0,3,3,Jakarta,1002400000
395,50.0,2,1,Jakarta,799000000
396,105.0,3,3,Jakarta,2300000000
397,170.0,4,3,Jakarta,2500000000
398,550.0,4,4,Jakarta,15000000000
399,600.0,5,5,Jakarta,13000000000
400,57.0,3,2,Jakarta,1350000000
401,400.0,4,3,Jakarta,7500000000
402,600.0,4,4,Jakarta,13500000000
403,700.0,4,4,Jakarta,12000000000
404,400.0,4,3,Jakarta,14000000000
405,220.0,4,3,Jakarta,6450000000
406,230.0,4,3,Jakarta,4500000000
407,220.0,4,3,Jakarta,4400000000
408,220.0,4,3,Jakarta,4400000000
409,330.0,4,5,Jakarta,9000000000
410,200.0,4,4,Jakarta,5400000000
411,180.0,4,4,Jakarta,5200000000
412,180.0,4,4,Jakarta,5200000000
413,88.0,2,2,Jakarta,1400000000
414,90.0,4,3,Jakarta,2450000000
415,90.0,4,3,Jakarta,2300000000
416,78.0,3,2,Jakarta,1500000000
417,72.0,3,2,Jakarta,880000000
418,72.0,3,2,Jakarta,779000000
419,76.0,4,3,Jakarta,1900000000
420,96.0,3,3,Jakarta,2500000000
421,200.0,4,5,Jakarta,5850000000
422,290.0,3,3,Jakarta,4900000000
423,548.0,7,8,Jakarta,45000000000
424,1300.0,10,10,Jakarta,39000000000
425,600.0,4,5,Jakarta,35000000000
426,600.0,4,3,Jakarta,32000000000
427,300.0,6,4,Jakarta,16900000000
428,360.0,5,3,Jakarta,21000000000
429,60.0,2,2,Jakarta,1225000000
430,540.0,5,4,Jakarta,67500000
431,216.0,4,3,Jakarta,3800000000
432,270.0,4,4,Jakarta,6300000000
433,270.0,5,4,Jakarta,6500000000
434,400.0,5,5,Jakarta,11000000000
435,40.0,2,1,Jakarta,790000000
436,800.0,6,4,Jakarta,12600000000
437,300.0,4,3,Jakarta,9800000000
438,550.0,5,6,Jakarta,18800000000
439,260.0,3,3,Jakarta,4700000000
440,107.0,3,3,Jakarta,3300000000
441,480.0,3,3,Jakarta,12000000000
442,272.0,3,3,Jakarta,5300000000
443,400.0,6,8,Jakarta,6500000000
444,240.0,5,5,Jakarta,4800000000
445,330.0,5,5,Jakarta,3500000000
446,600.0,4,4,Jakarta,35000000000
447,200.0,2,1,Jakarta,4200000000
448,430.0,4,4,Jakarta,15500000000
449,160.0,3,3,Jakarta,4100000000
450,87.0,3,3,Jakarta,1800000000
451,470.0,5,4,Jakarta,42950000000000
452,200.0,3,3,Jakarta,3500000000
453,250.0,3,2,Jakarta,4300000000
454,900.0,5,5,Jakarta,23000000000
455,42.0,2,2,Jakarta,562116000
456,526.0,7,4,Jakarta,14900000000
457,66.0,3,2,Jakarta,1595000000
458,106.0,3,3,Jakarta,1736000000
459,144.0,4,3,Jakarta,3100000000
460,69.0,2,2,Jakarta,1081410000
461,150.0,5,4,Jakarta,4000000000
462,275.0,10,10,Jakarta,5500000000
463,200.0,4,3,Jakarta,4000000000
464,750.0,4,4,Jakarta,38000000000
465,400.0,4,3,Jakarta,7600000000
466,444.0,4,4,Jakarta,13500000000
467,444.0,4,4,Jakarta,13500000000
468,450.0,5,4,Jakarta,15000000000
469,250.0,4,1,Jakarta,10571000000
470,375.0,5,3,Jakarta,9000000000
471,60.0,3,2,Jakarta,1025797500
472,700.0,4,3,Jakarta,35000000000
473,112.0,3,3,Jakarta,2092000000
474,350.0,4,3,Jakarta,7200000000
475,250.0,3,3,Jakarta,1700000000
476,2500.0,6,7,Jakarta,83000000000
477,4600.0,8,10,Jakarta,70000000000
478,36.0,3,2,Jakarta,1800000000
479,300.0,4,3,Jakarta,5000000000
480,300.0,4,3,Jakarta,8850000000
481,85.0,3,2,Jakarta,2400000000
482,250.0,4,3,Jakarta,4800000000
483,55.0,3,1,Jakarta,750000000
484,62.0,2,2,Jakarta,1400000000
485,207.0,5,4,Jakarta,12500000000
486,45.0,3,2,Jakarta,650000000
487,171.0,4,5,Jakarta,4052000000
488,250.0,6,6,Jakarta,7800000000
489,100.0,4,3,Jakarta,1735650000
490,87.0,3,3,Jakarta,2000000000
491,68.0,3,2,Jakarta,1199600000
492,75.0,3,2,Jakarta,1750000000
493,479.0,10,4,Jakarta,16900000000
494,105.0,3,2,Jakarta,2400000000
495,168.0,4,3,Jakarta,6000000000
496,108.0,2,2,Jakarta,1744000000
497,210.0,5,4,Jakarta,3300000000
498,80.0,4,2,Jakarta,775000000
499,80.0,3,3,Jakarta,1700000000
500,39.0,2,2,Jakarta,553200000
501,42.0,2,2,Jakarta,494300000
502,63.0,3,2,Jakarta,841000000
503,68.0,2,2,Jakarta,1013200000
504,68.0,2,2,Jakarta,822375000
505,100.0,4,2,Jakarta,1390000000
506,87.0,4,3,Jakarta,1909500000
507,61.0,3,2,Jakarta,1135300000
508,39.0,2,2,Jakarta,611200000
509,123.0,5,4,Jakarta,3950000000
510,190.0,4,2,Jakarta,4999000000
511,180.0,5,3,Jakarta,5500000000
512,300.0,6,5,Jakarta,7500000000
513,280.0,4,4,Jakarta,7000000000
514,275.0,3,3,Jakarta,5890000000
515,265.0,3,3,Jakarta,16000000000
516,160.0,3,3,Jakarta,5950000000
517,250.0,3,2,Jakarta,4900000000
518,333.0,5,6,Jakarta,5714173000
519,540.0,4,5,Jakarta,9300000000
520,75.0,2,2,Jakarta,38587519561
521,150.0,3,2,Jakarta,3000000000
522,400.0,5,3,Jakarta,10000000000
523,200.0,4,3,Jakarta,4300000000
524,60.0,3,3,Jakarta,826000000
525,88.0,3,2,Jakarta,1370000000
526,88.0,3,2,Jakarta,1400000000
527,88.0,3,2,Jakarta,1400000000
528,750.0,7,5,Jakarta,9000000000
529,210.0,5,3,Jakarta,5500000000
530,700.0,7,4,Jakarta,23000000000
531,800.0,5,3,Jakarta,20000000000
532,311.0,3,3,Jakarta,9000000000
533,57.0,3,3,Jakarta,709000000
534,50.0,2,1,Jakarta,640000000
535,68.0,2,3,Jakarta,1485000000
536,150.0,5,4,Jakarta,2600000000
537,42.0,2,2,Jakarta,528000000
538,42.0,2,2,Jakarta,534879000
539,150.0,3,2,Jakarta,5200000000
540,72.0,3,2,Jakarta,2500000000
541,250.0,4,3,Jakarta,13500000000
542,80.0,3,2,Jakarta,2350000000
543,250.0,5,5,Jakarta,4800000000
544,62.0,2,2,Jakarta,1350000000
545,96.0,2,2,Jakarta,2000000000
546,273.0,5,4,Jakarta,11000000000
547,200.0,10,10,Jakarta,2500000000
548,200.0,4,3,Jakarta,1800000000
549,63.0,4,2,Jakarta,2150000000
550,410.0,7,8,Jakarta,8500000000
551,490.0,7,5,Jakarta,25000000000
552,300.0,6,4,Jakarta,5300000000
553,144.0,4,3,Jakarta,1950000000
554,180.0,3,3,Jakarta,4600000000
555,250.0,4,3,Jakarta,5000000000
556,190.0,4,3,Jakarta,3000000000
557,200.0,3,2,Jakarta,3000000000
558,350.0,6,4,Jakarta,7000000000
559,225.0,5,4,Jakarta,6000000000
560,220.0,10,10,Jakarta,5500000000
561,150.0,2,2,Jakarta,3300000000
562,750.0,10,10,Jakarta,12000000000
563,120.0,4,2,Jakarta,2300000000
564,300.0,4,4,Jakarta,4950000000
565,300.0,4,3,Jakarta,4600000000
566,150.0,3,3,Jakarta,2200000000
567,1130.0,6,6,Jakarta,60000000000
568,120.0,5,2,Jakarta,1300000000
569,550.0,5,4,Jakarta,12500000000
570,350.0,4,4,Jakarta,9000000000
571,69.0,2,2,Jakarta,960000000
572,28.0,2,1,Jakarta,330000000
573,450.0,4,4,Jakarta,22000000000
574,280.0,7,4,Jakarta,8400000000
575,1000.0,7,7,Jakarta,23000000000
576,78.0,4,4,Jakarta,950000000
577,3000.0,10,10,Jakarta,195000000000
578,500.0,5,5,Jakarta,15000000000
579,628.0,5,4,Jakarta,10500000000
580,500.0,6,4,Jakarta,12500000000
581,48.0,2,2,Jakarta,490000000
582,215.0,4,3,Jakarta,4700000000
583,220.0,4,3,Jakarta,2850000000
584,180.0,3,3,Jakarta,3500000000
585,147.0,3,4,Jakarta,2400000000
586,113.0,3,3,Jakarta,2200000000
587,160.0,3,2,Jakarta,2500000000
588,132.0,3,3,Jakarta,1680000000
589,212.0,4,2,Jakarta,1600000000
590,350.0,3,2,Jakarta,7300000000
591,288.0,5,4,Jakarta,3490000000
592,500.0,4,4,Jakarta,11000000000
593,165.0,4,3,Jakarta,4200000000
594,38.0,2,1,Jakarta,16000000
595,150.0,3,3,Jakarta,2000000000
596,308.0,5,5,Jakarta,5300000000
597,150.0,4,4,Jakarta,2500000000
598,250.0,10,5,Jakarta,10280000000
599,145.0,7,2,Jakarta,3500000000
600,98.0,3,2,Jakarta,1350000000
601,400.0,5,3,Jakarta,7300000000
602,225.0,4,4,Jakarta,8360000000
603,640.0,4,5,Jakarta,11000000000
604,640.0,4,5,Jakarta,11000000000
605,500.0,5,5,Jakarta,9000000000
606,130.0,4,4,Jakarta,1650000000
607,90.0,4,3,Jakarta,1200000000
608,400.0,6,5,Jakarta,2700000000
609,785.0,5,5,Jakarta,25000000000
610,60.0,2,2,Jakarta,1000000000
611,330.0,6,6,Jakarta,7000000000
612,86.0,3,2,Jakarta,1950000000
613,300.0,4,3,Jakarta,12500000000
614,650.0,4,3,Jakarta,13500000000
615,100.0,3,2,Jakarta,3000000000
616,90.0,3,2,Jakarta,2350000000
617,1225.0,4,3,Jakarta,11500000000
618,42.0,2,2,Jakarta,473000000
619,1000.0,5,5,Jakarta,13000000000
620,400.0,4,3,Jakarta,6795000000
621,35.0,2,1,Jakarta,440000000
622,70.0,3,2,Jakarta,1778000000
623,620.0,6,4,Jakarta,27500000000
624,45.0,2,1,Jakarta,38587519561
625,850.0,4,5,Jakarta,28000000000
626,400.0,4,3,Jakarta,10500000000
627,600.0,4,4,Jakarta,15500000000
628,225.0,4,4,Jakarta,8500000000
629,240.0,4,4,Jakarta,3500000000
630,500.0,6,6,Jakarta,5500000000
631,140.0,3,3,Jakarta,2800000000
632,190.0,4,3,Jakarta,3750000000
633,120.0,4,3,Jakarta,2900000000
634,50.0,2,2,Jakarta,1100000000
635,100.0,3,2,Jakarta,1345000000
636,50.0,2,1,Jakarta,990000000
637,85.0,3,2,Jakarta,2500000000
638,36.0,2,1,Jakarta,400000000
639,65.0,3,2,Jakarta,1085000000
640,180.0,3,3,Jakarta,4000000000
641,140.0,4,3,Jakarta,1450000000
642,54.0,2,2,Jakarta,897868000
643,54.0,2,2,Jakarta,897868000
644,54.0,2,2,Jakarta,897868000
645,480.0,4,5,Jakarta,12000000000
646,245.0,3,3,Jakarta,5400000000
647,141.0,4,4,Jakarta,2500000000
648,380.0,4,3,Jakarta,6000000000
649,72.0,3,2,Jakarta,880000000
650,90.0,3,2,Jakarta,1220000000
651,72.0,3,2,Jakarta,847000000
652,78.0,3,2,Jakarta,1500000000
653,450.0,7,6,Jakarta,4900000000
654,170.0,4,4,Jakarta,2600000000
655,60.0,3,3,Jakarta,1300000000
656,68.0,2,2,Jakarta,834800000
657,400.0,4,4,Jakarta,9200000000
658,130.0,4,3,Jakarta,2050000000
659,36.0,2,1,Jakarta,38587519561
660,300.0,10,10,Jakarta,5500000000
661,250.0,6,2,Jakarta,6000000000
662,100.0,4,3,Jakarta,2900000000
663,45.0,3,2,Jakarta,600000000
664,45.0,3,2,Jakarta,600000000
665,65.0,4,3,Jakarta,850000000
666,200.0,3,3,Jakarta,3150000000
667,400.0,5,5,Jakarta,5500000000
