"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 1,99 Miliar","Harapan Indah, Bekasi","4","3","2","104 m²","120 m²"
"Rp 1,4 Miliar","Harapan Indah, Bekasi","3","2","2","77 m²","77 m²"
"Rp 14 Miliar","Bekasi, Bekasi","","","","783 m²","402 m²"
"Rp 1,75 Miliar","Harapan Indah, Bekasi","4","4","","160 m²","280 m²"
"Rp 2,71 Miliar","Bekasi, Bekasi","4","4","2","135 m²","149 m²"
"Rp 2,19 Miliar","Bekasi Utara, Bekasi","3","3","","136 m²","150 m²"
"Rp 680 Juta","Mustikajaya, Bekasi","2","1","","72 m²","36 m²"
"Rp 1,08 Miliar","Jatisampurna, Bekasi","2","2","1","105 m²","90 m²"
"Rp 1,2 Miliar","Grand Wisata, Bekasi","3","2","","165 m²","90 m²"
"Rp 1,15 Miliar","Jatisampurna, Bekasi","2","1","1","90 m²","70 m²"
"Rp 799 Juta","Jati Asih, Bekasi","2","1","","97 m²","70 m²"
"Rp 950 Juta","Harapan Baru, Bekasi","3","2","1","66 m²","87 m²"
"Rp 1,68 Miliar","Cibubur, Bekasi","3","2","1","200 m²","90 m²"
"Rp 680 Juta","Mustikajaya, Bekasi","2","1","1","72 m²","36 m²"
"Rp 1,2 Miliar","Mustikajaya, Bekasi","3","2","1","165 m²","90 m²"
"Rp 1,2 Miliar","Harapan Indah, Bekasi","3","2","1","105 m²","120 m²"
"Rp 450 Juta","Jatisampurna, Bekasi","2","1","1","60 m²","36 m²"
"Rp 895 Juta","Harapan Indah, Bekasi","2","1","3","137 m²","100 m²"
"Rp 875 Juta","Bekasi Kota, Bekasi","3","2","","78 m²","96 m²"
"Rp 799 Juta","Jati Asih, Bekasi","2","1","","97 m²","70 m²"
"Rp 950 Juta","Harapan Baru, Bekasi","3","2","1","66 m²","87 m²"
"Rp 799 Juta","Pondokmelati, Bekasi","2","1","1","97 m²","70 m²"
"","","2","1","2","72 m²","38 m²"
"","","2","1","2","72 m²","35 m²"
"Rp 5,5 Miliar","Cibubur, Bekasi","4","3","2","220 m²","250 m²"
"Rp 2,2 Miliar","Cibubur, Bekasi","3","3","2","160 m²","185 m²"
"Rp 500 Juta","Cikarang Selatan, Bekasi","1","1","","72 m²","72 m²"
"Rp 168 Juta","Bekasi Kota, Bekasi","2","1","1","60 m²","29 m²"
"Rp 2,5 Miliar","Galaxy, Bekasi","4","4","2","144 m²","200 m²"
"Rp 465 Juta","Bekasi Timur, Bekasi","3","1","","60 m²","45 m²"
"Rp 1,3 Miliar","Margahayu, Bekasi","6","3","1","126 m²","140 m²"
"Rp 1,29 Miliar","Bekasi, Bekasi","3","2","2","92 m²","130 m²"
