"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 1,5 Miliar","Limo, Depok","4","3","2","151 m²","150 m²"
"Rp 1,41 Miliar","Limo, Depok","3","3","","180 m²","112 m²"
"Rp 930 Juta","Pancoran Mas, Depok","3","2","2","72 m²","80 m²"
"Rp 550 Juta","Tapos, Depok","2","1","1","63 m²","37 m²"
"Rp 367 Juta","Sawangan, Depok","2","1","1","60 m²","40 m²"
"Rp 799 Juta","Pancoran Mas, Depok","3","2","1","74 m²","70 m²"
"Rp 1,58 Miliar","Kelapa Dua, Depok","3","3","1","84 m²","90 m²"
"Rp 849 Juta","Cinangka, Depok","3","3","2","50 m²","85 m²"
"Rp 780 Juta","Bojong Sari, Depok","2","1","1","72 m²","42 m²"
"Rp 1,56 Miliar","Limo, Depok","3","3","1","72 m²","140 m²"
"Rp 1,56 Miliar","Cilodong, Depok","3","2","1","72 m²","90 m²"
"Rp 1,05 Miliar","Cimanggis, Depok","5","2","1","83 m²","154 m²"
"Rp 1,02 Miliar","Bojong Sari, Depok","2","2","1","84 m²","40 m²"
"Rp 840 Juta","Tapos, Depok","2","1","1","86 m²","50 m²"
"Rp 660 Juta","Sawangan, Depok","2","1","1","82 m²","50 m²"
"Rp 1,98 Miliar","Limo, Depok","3","2","1","95 m²","105 m²"
"Rp 1,26 Miliar","Bojong Sari, Depok","3","2","1","164 m²","95 m²"
"Rp 810 Juta","Cipayung, Depok","2","1","1","84 m²","45 m²"
"Rp 1,8 Miliar","Sukmajaya, Depok","3","3","1","106 m²","150 m²"
"Rp 499 Juta","Citayam, Depok","3","1","1","78 m²","47 m²"
"Rp 1,5 Miliar","Tapos, Depok","3","3","1","164 m²","104 m²"
"Rp 165 Juta","Citayam, Depok","2","1","1","50 m²","36 m²"
"Rp 900 Juta","Bojong Sari, Depok","3","1","1","81 m²","81 m²"
"Rp 700 Juta","Tapos, Depok","3","2","2","50 m²","60 m²"
"Rp 660 Juta","Pancoran Mas, Depok","2","1","1","80 m²","45 m²"
"Rp 1,5 Miliar","Limo, Depok","4","3","2","151 m²","150 m²"
"Rp 399 Juta","Sawangan, Depok","2","1","1","68 m²","40 m²"
"Rp 725 Juta","Cilodong, Depok","2","1","1","96 m²","71 m²"
"Rp 2,52 Miliar","Cinere, Depok","4","3","1","150 m²","200 m²"
"Rp 1,41 Miliar","Limo, Depok","3","3","1","112 m²","180 m²"
"Rp 870 Juta","Bojong Sari, Depok","3","1","1","131 m²","140 m²"
"Rp 900 Juta","Sukmajaya, Depok","2","2","1","90 m²","45 m²"
"Rp 960 Juta","Bojong Sari, Depok","2","1","1","108 m²","90 m²"
"Rp 840 Juta","Cimanggis, Depok","2","1","1","84 m²","48 m²"
"Rp 660 Juta","Sawangan, Depok","2","1","1","82 m²","50 m²"
"Rp 1,26 Miliar","Bojong Sari, Depok","3","2","1","164 m²","95 m²"
"Rp 1,92 Miliar","Limo, Depok","2","3","1","167 m²","160 m²"
"Rp 1,5 Miliar","Tapos, Depok","3","3","1","164 m²","104 m²"
"Rp 1,56 Miliar","Cinangka, Depok","3","2","2","109 m²","90 m²"
"Rp 2,7 Miliar","Cinere, Depok","3","3","","225 m²","200 m²"
"Rp 870 Juta","Bojong Sari, Depok","3","1","","131 m²","140 m²"
"Rp 1,14 Miliar","Cilodong, Depok","3","2","","84 m²","76 m²"
"Rp 999 Juta","Limo, Depok","3","3","1","96 m²","75 m²"
"Rp 1,5 Miliar","Tapos, Depok","3","3","","164 m²","104 m²"
"Rp 1,08 Miliar","Sukmajaya, Depok","2","1","1","90 m²","70 m²"
"Rp 1,2 Miliar","Rangkapanjaya, Depok","3","3","","120 m²","100 m²"
"Rp 1,4 Miliar","Cinere, Depok","3","2","","78 m²","120 m²"
"Rp 1,26 Miliar","Bojong Sari, Depok","3","2","1","164 m²","95 m²"
"Rp 1,92 Miliar","Limo, Depok","2","3","1","167 m²","160 m²"
"Rp 1,98 Miliar","Cinere, Depok","3","2","","95 m²","105 m²"
"Rp 2,52 Miliar","Pangkalan Jati, Depok","4","3","","150 m²","200 m²"
"Rp 780 Juta","Bojong Sari, Depok","2","1","1","72 m²","42 m²"
"Rp 960 Juta","Cinangka, Depok","3","2","1","70 m²","115 m²"
"Rp 1,08 Miliar","Sukmajaya, Depok","2","1","1","90 m²","70 m²"
"","","3","3","4","70 m²","78 m²"
"","","3","2","","90 m²","70 m²"
"Rp 680 Juta","Cinere, Depok","2","2","1","60 m²","70 m²"
"Rp 299 Juta","Sawangan, Depok","2","1","1","62 m²","40 m²"
"Rp 690 Juta","Cipayung, Depok","2","1","1","87 m²","45 m²"
"Rp 925 Juta","Cilodong, Depok","3","3","2","80 m²","80 m²"
"Rp 894 Juta","Cinere, Depok","3","2","1","56 m²","72 m²"
"Rp 365 Juta","Citayam, Depok","2","1","1","62 m²","36 m²"
"Rp 1,2 Miliar","Sawangan, Depok","2","1","1","120 m²","45 m²"
"Rp 330 Juta","Pancoran Mas, Depok","2","1","1","60 m²","40 m²"
"Rp 950 Juta","Cinere, Depok","2","2","1","85 m²","100 m²"
"Rp 1,8 Miliar","Cimanggis, Depok","4","3","1","143 m²","170 m²"
"Rp 1,08 Miliar","Sukmajaya, Depok","2","1","1","90 m²","70 m²"
"Rp 1,56 Miliar","Sawangan, Depok","3","2","","109 m²","90 m²"
"Rp 1,56 Miliar","Cilodong, Depok","3","2","1","72 m²","90 m²"
"Rp 2,28 Miliar","Sukmajaya, Depok","3","4","1","180 m²","200 m²"
"Rp 1,56 Miliar","Limo, Depok","3","3","1","72 m²","140 m²"
"Rp 780 Juta","Cilodong, Depok","3","1","1","98 m²","68 m²"
