km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
4,3,10,700.0,1600.0,Jakarta,35000000000
3,2,2,85.0,72.0,Jakarta,1100000000
4,4,2,400.0,300.0,Jakarta,6500000000
3,2,0,110.0,144.0,Jakarta,2700000000
3,2,2,175.0,212.0,Jakarta,6250000000
3,2,0,200.0,120.0,Jakarta,3550000000
50,50,0,2417.0,517.0,Jakarta,30000000000
4,3,1,400.0,403.0,Jakarta,12500000000
1,4,0,150.0,600.0,Jakarta,6300000000
4,3,1,156.0,269.0,Jakarta,3500000000
4,3,2,280.0,126.0,Jakarta,4900000000
4,5,1,200.0,160.0,Jakarta,12500000000
5,4,0,500.0,630.0,Jakarta,32000000000
3,2,2,97.0,84.0,Jakarta,1100000000
3,3,2,250.0,190.0,Jakarta,7500000000
5,3,0,254.0,314.0,Jakarta,4500000000
4,4,2,650.0,402.0,Jakarta,19000000000
3,3,2,150.0,90.0,Jakarta,1900000000
5,3,2,250.0,126.0,Jakarta,2800000000
5,5,0,500.0,300.0,Jakarta,5500000000
4,3,2,211.0,128.0,Jakarta,3100000000
6,6,2,270.0,128.0,Jakarta,4000000000
3,2,2,250.0,308.0,Jakarta,6400000000
5,4,2,350.0,256.0,Jakarta,3250000000
4,3,2,130.0,97.0,Jakarta,1450000000
4,3,2,350.0,250.0,Jakarta,7500000000
4,3,2,400.0,250.0,Jakarta,6790000000
5,2,0,200.0,145.0,Jakarta,1700000000
3,3,0,520.0,478.0,Jakarta,9500000000
4,4,1,186.0,120.0,Jakarta,3550000000
3,3,1,350.0,250.0,Jakarta,6000000000
4,3,2,130.0,90.0,Jakarta,2070000000
4,5,2,1000.0,520.0,Jakarta,29000000000
3,4,2,140.0,64.0,Jakarta,1900000000
4,3,0,180.0,90.0,Jakarta,5500000000
4,4,6,600.0,1000.0,Jakarta,29000000000
4,3,3,300.0,220.0,Jakarta,13200000000
4,4,1,138.0,64.0,Jakarta,2400000000
2,2,0,80.0,65.0,Jakarta,1670000000
4,4,0,700.0,300.0,Jakarta,25000000000
3,2,0,102.0,90.0,Jakarta,2350000000
3,3,2,150.0,120.0,Jakarta,4100000000
4,2,0,160.0,112.0,Jakarta,3350000000
2,2,0,42.0,22.0,Jakarta,11843707482
4,3,2,250.0,180.0,Jakarta,7700000000
6,6,0,800.0,358.0,Jakarta,17800000000
5,5,2,240.0,101.0,Jakarta,3540000000
3,3,0,200.0,110.0,Jakarta,4300000000
3,3,0,131.0,120.0,Jakarta,3740000000
4,5,0,660.0,200.0,Jakarta,12000000000
6,5,1,380.0,200.0,Jakarta,8250000000
6,4,0,800.0,400.0,Jakarta,13900000000
5,2,4,350.0,597.0,Jakarta,32000000000
6,3,1,250.0,600.0,Jakarta,8000000000
4,2,1,216.0,88.0,Jakarta,2900000000
3,3,2,400.0,200.0,Jakarta,8970000000
4,4,2,435.0,300.0,Jakarta,18000000000
4,3,2,150.0,87.0,Jakarta,2500000000
3,2,0,120.0,97.0,Jakarta,2340000000
4,4,1,250.0,150.0,Jakarta,5500000000
4,3,0,145.0,110.0,Jakarta,2200000000
5,7,2,1000.0,455.0,Jakarta,26900000000
4,3,2,400.0,220.0,Jakarta,5700000000
3,2,2,130.0,157.0,Jakarta,1850000000
7,7,2,300.0,268.0,Jakarta,15000000000
5,5,0,850.0,1300.0,Jakarta,34500000000
3,3,2,450.0,360.0,Jakarta,17400000000
8,8,2,600.0,400.0,Jakarta,4500000000
3,3,2,170.0,120.0,Jakarta,3950000000
4,5,0,400.0,299.0,Jakarta,14000000000
2,1,1,100.0,180.0,Jakarta,1250000000
3,3,2,150.0,101.0,Jakarta,1750000000
4,3,1,165.0,112.0,Jakarta,2950000000
4,3,5,437.0,437.0,Jakarta,9500000000
4,3,1,180.0,66.0,Jakarta,2350000000
4,4,4,804.0,507.0,Jakarta,19800000000
4,3,0,240.0,160.0,Jakarta,5100000000
3,3,0,195.0,120.0,Jakarta,3000000000
5,4,2,500.0,320.0,Jakarta,7300000000
4,2,2,300.0,153.0,Jakarta,3700000000
6,6,1,585.0,255.0,Jakarta,11000000000
4,2,3,250.0,240.0,Jakarta,8500000000
3,3,1,110.0,74.0,Jakarta,1490000000
4,4,0,238.0,314.0,Jakarta,21000000000
4,3,2,360.0,267.0,Jakarta,6000000000
4,3,2,200.0,109.0,Jakarta,3650000000
4,3,1,235.0,200.0,Jakarta,4300000000
4,3,5,1300.0,738.0,Jakarta,19900000000
4,3,2,450.0,921.0,Jakarta,14000000000
3,2,2,302.0,130.0,Jakarta,7960000000
4,3,0,192.0,150.0,Jakarta,3650000000
4,4,0,600.0,402.0,Jakarta,19500000000
4,4,1,500.0,184.0,Jakarta,8900000000
2,1,1,62.0,37.0,Jakarta,11843707482
4,5,6,1000.0,450.0,Jakarta,45000000000
5,4,4,370.0,910.0,Jakarta,18000000000
4,4,2,412.0,297.0,Jakarta,10900000000
3,2,1,250.0,350.0,Jakarta,25000000000
2,2,0,130.0,72.0,Jakarta,1480000000
4,4,0,300.0,180.0,Jakarta,3500000000
3,4,2,141.0,128.0,Jakarta,3100000000
3,3,2,136.0,90.0,Jakarta,2900000000
4,1,2,90.0,90.0,Jakarta,2000000000
