km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,umr,jlh-pdk,harga
5,5,4,293,255,Jakarta,46411136,11249867,5200000000
5,4,2,170,120,Jakarta,46411137,11249868,3900000000
5,4,1,100,90,Jakarta,46411138,11249869,2900000000
5,5,1,216,88,Jakarta,46411139,11249870,2900000000
5,4,2,150,123,Jakarta,46411140,11249871,4000000000
5,4,0,200,200,Jakarta,46411141,11249872,4100000000
5,4,0,250,195,Jakarta,46411142,11249873,4690000000
5,4,2,120,120,Jakarta,46411143,11249874,2900000000
5,4,0,700,570,Jakarta,46411144,11249875,17000000000
5,4,0,1000,426,Jakarta,46411145,11249876,27000000000
5,5,2,120,90,Jakarta,46411146,11249877,2300000000
5,3,0,350,150,Jakarta,46411147,11249878,5900000000
5,2,0,52,32,Jakarta,46411148,11249879,11843707482
5,4,1,218,86,Jakarta,46411149,11249880,3980000000
5,4,0,207,86,Jakarta,46411150,11249881,3980000000
5,3,0,395,260,Jakarta,46411151,11249882,6800000000
5,5,1,98,60,Jakarta,46411152,11249883,2030000000
5,4,1,68,48,Jakarta,46411153,11249884,1200000000
5,4,1,110,55,Jakarta,46411154,11249885,1350000000
5,2,1,250,120,Jakarta,46411155,11249886,5990000000
5,3,0,240,160,Jakarta,46411156,11249887,5100000000
5,3,1,110,74,Jakarta,46411157,11249888,1490000000
5,3,4,375,216,Jakarta,46411158,11249889,8000000000
5,5,0,69,35,Jakarta,46411159,11249890,11843707482
5,5,2,200,94,Jakarta,46411160,11249891,3450000000
5,4,0,250,150,Jakarta,46411161,11249892,3200000000
5,4,0,130,55,Jakarta,46411162,11249893,2200000000
5,5,3,400,200,Jakarta,46411163,11249894,4100000000
5,5,2,228,200,Jakarta,46411164,11249895,8300000000
5,3,0,500,1046,Jakarta,46411165,11249896,55000000000
5,5,1,300,200,Jakarta,46411166,11249897,4800000000
5,4,2,85,105,Jakarta,46411167,11249898,2000000000
5,5,0,150,198,Jakarta,46411168,11249899,3290000000
5,3,0,144,77,Jakarta,46411169,11249900,1350000000
5,4,0,185,84,Jakarta,46411170,11249901,2400000000
5,4,1,110,90,Jakarta,46411171,11249902,2400000000
5,4,0,500,357,Jakarta,46411172,11249903,10500000000
5,5,0,700,530,Jakarta,46411173,11249904,18000000000
5,5,2,500,330,Jakarta,46411174,11249905,30000000000
5,3,2,200,109,Jakarta,46411175,11249906,3650000000
5,3,2,550,460,Jakarta,46411176,11249907,13000000000
5,5,1,270,255,Jakarta,46411177,11249908,5700000000
5,5,0,359,264,Jakarta,46411178,11249909,5500000000
5,3,1,300,180,Jakarta,46411179,11249910,8700000000
5,3,1,650,428,Jakarta,46411180,11249911,10000000000
5,3,0,120,128,Jakarta,46411181,11249912,3090000000
5,5,2,315,290,Jakarta,46411182,11249913,10900000000
5,5,2,300,200,Jakarta,46411183,11249914,7300000000
5,5,1,90,77,Jakarta,46411184,11249915,1620000000
5,4,1,85,75,Jakarta,46411185,11249916,1200000000
5,4,2,136,120,Jakarta,46411186,11249917,2750000000
5,4,2,80,68,Jakarta,46411187,11249918,11843707482
5,5,2,245,105,Jakarta,46411188,11249919,3590000000
5,5,0,200,120,Jakarta,46411189,11249920,4000000000
5,4,1,60,40,Jakarta,46411190,11249921,1650000000
5,5,4,416,486,Jakarta,46411191,11249922,20000000000
5,5,0,560,812,Jakarta,46411192,11249923,26000000000
5,5,0,245,105,Jakarta,46411193,11249924,3590000000
5,5,0,162,102,Jakarta,46411194,11249925,1700000000
5,5,0,54,40,Jakarta,46411195,11249926,1650000000
5,3,1,138,64,Jakarta,46411196,11249927,2400000000
5,4,0,132,64,Jakarta,46411197,11249928,2400000000
5,3,1,400,117,Jakarta,46411198,11249929,6100000000
5,4,0,42,21,Jakarta,46411199,11249930,11843707482
5,5,3,540,260,Jakarta,46411200,11249931,12500000000
5,4,1,126,75,Jakarta,46411201,11249932,2600000000
5,4,1,52,32,Jakarta,46411202,11249933,11843707482
5,4,3,250,195,Jakarta,46411204,11249935,4700000000
5,5,0,700,749,Jakarta,46411205,11249936,17900000000
5,4,2,353,155,Jakarta,46411206,11249937,5600000000
5,6,2,150,92,Jakarta,46411207,11249938,1950000000
5,4,2,180,106,Jakarta,46411208,11249939,2500000000
5,3,1,165,120,Jakarta,46411209,11249940,2950000000
5,4,1,300,167,Jakarta,46411210,11249941,4500000000
5,4,1,188,84,Jakarta,46411211,11249942,1850000000
5,3,2,119,60,Jakarta,46411212,11249943,2300000000
5,5,2,98,80,Jakarta,46411213,11249944,2300000000
5,4,1,90,80,Jakarta,46411214,11249945,2290000000
5,5,2,538,409,Jakarta,46411215,11249946,18700000000
5,3,0,42,27,Jakarta,46411216,11249947,11843707482
5,3,0,63,32,Jakarta,46411217,11249948,11843707482
5,3,0,42,22,Jakarta,46411218,11249949,11843707482
5,4,4,377,250,Jakarta,46411219,11249950,6700000000
5,4,2,231,105,Jakarta,46411220,11249951,3590000000
5,5,0,294,102,Jakarta,46411221,11249952,4300000000
5,3,0,196,105,Jakarta,46411222,11249953,3590000000
5,4,0,800,358,Jakarta,46411223,11249954,17800000000
5,6,2,400,240,Jakarta,46411224,11249955,9000000000
5,5,1,180,136,Jakarta,46411225,11249956,3990000000
5,5,0,700,300,Jakarta,46411226,11249957,25000000000
5,5,2,125,102,Jakarta,46411227,11249958,3950000000
5,5,2,183,165,Jakarta,46411228,11249959,4400000000
5,4,2,400,200,Jakarta,46411229,11249960,14000000000
5,4,2,450,290,Jakarta,46411230,11249961,10900000000
5,4,2,412,297,Jakarta,46411231,11249962,10900000000
5,8,1,180,84,Jakarta,46411232,11249963,2400000000
5,3,2,450,470,Jakarta,46411233,11249964,20000000000
5,5,0,800,358,Jakarta,46411234,11249965,17800000000
5,5,0,250,200,Jakarta,46411235,11249966,8300000000
5,4,2,500,360,Jakarta,46411236,11249967,14000000000
5,3,1,285,167,Jakarta,46411237,11249968,4500000000
5,2,0,240,188,Jakarta,46411238,11249969,3300000000
5,2,2,150,101,Jakarta,46411239,11249970,1750000000
5,5,2,209,150,Jakarta,46411240,11249971,5000000000
5,2,2,190,118,Jakarta,46411241,11249972,2700000000
5,4,2,130,96,Jakarta,46411242,11249973,1300000000
5,2,1,125,90,Jakarta,46411243,11249974,2300000000
5,3,2,130,120,Jakarta,46411244,11249975,2900000000
5,2,0,700,450,Jakarta,46411245,11249976,29000000000
5,4,2,500,200,Jakarta,46411246,11249977,9500000000
5,3,4,550,369,Jakarta,46411247,11249978,18000000000
5,1,2,350,250,Jakarta,46411248,11249979,5500000000
5,4,2,700,740,Jakarta,46411249,11249980,39000000000
5,3,3,700,300,Jakarta,46411250,11249981,9000000000
5,4,6,600,520,Jakarta,46411251,11249982,15000000000
5,4,2,400,300,Jakarta,46411252,11249983,6500000000
5,6,3,500,225,Jakarta,46411253,11249984,13500000000
5,6,2,750,300,Jakarta,46411254,11249985,23000000000
5,4,2,200,203,Jakarta,46411255,11249986,5000000000
5,3,2,230,92,Jakarta,46411256,11249987,2900000000
5,5,1,400,184,Jakarta,46411257,11249988,6500000000
5,7,0,312,135,Jakarta,46411258,11249989,2990000000
5,3,0,100,138,Jakarta,46411259,11249990,2350000000
5,4,0,100,90,Jakarta,46411260,11249991,2050000000
5,3,4,785,785,Jakarta,46411261,11249992,26000000000
5,5,2,140,120,Jakarta,46411262,11249993,4100000000
5,4,1,400,117,Jakarta,46411263,11249994,6000000000
5,4,0,130,72,Jakarta,46411264,11249995,1480000000
5,5,2,250,180,Jakarta,46411265,11249996,4550000000
5,3,1,106,38,Jakarta,46411266,11249997,1290000000
5,3,1,150,200,Jakarta,46411267,11249998,4600000000
5,4,2,115,180,Jakarta,46411268,11249999,2520000000
5,4,0,270,262,Jakarta,46411269,112491000,9250000000
5,4,0,250,336,Jakarta,46411270,112491001,7390000000
5,4,0,500,467,Jakarta,46411271,112491002,11500000000
5,4,0,110,35,Jakarta,46411272,112491003,1290000000
5,4,0,145,110,Jakarta,46411273,112491004,2200000000
5,4,2,115,180,Jakarta,46411274,112491005,2520000000
5,4,1,140,110,Jakarta,46411275,112491006,2640000000
5,3,2,170,80,Jakarta,46411276,112491007,2300000000
5,3,2,198,192,Jakarta,46411277,112491008,4000000000
5,2,0,700,500,Jakarta,46411278,112491009,19000000000
5,4,1,200,160,Jakarta,46411279,112491010,5900000000
5,4,0,610,250,Jakarta,46411280,112491011,12800000000
5,4,1,54,45,Jakarta,46411281,112491012,1300000000
5,3,2,435,300,Jakarta,46411282,112491013,18000000000
5,4,2,310,277,Jakarta,46411283,112491014,4500000000
5,2,0,260,220,Jakarta,46411284,112491015,4750000000
5,2,2,131,120,Jakarta,46411285,112491016,3700000000
5,2,1,186,120,Jakarta,46411286,112491017,3550000000
5,2,1,250,150,Jakarta,46411287,112491018,4600000000
5,5,2,168,112,Jakarta,46411288,112491019,2950000000
5,3,0,282,95,Jakarta,46411289,112491020,3200000000
5,4,0,200,112,Jakarta,46411290,112491021,2950000000
5,4,0,180,120,Jakarta,46411291,112491022,3550000000
5,2,2,115,180,Jakarta,46411292,112491023,2520000000
5,4,2,150,123,Jakarta,46411293,112491024,4000000000
5,3,2,1100,377,Jakarta,46411294,112491025,23000000000
5,3,1,56,32,Jakarta,46411295,112491026,11843707482
5,5,3,181,66,Jakarta,46411296,112491027,2350000000
5,3,0,220,97,Jakarta,46411297,112491028,2700000000
5,3,2,475,300,Jakarta,46411298,112491029,16000000000
5,4,2,192,136,Jakarta,46411299,112491030,5500000000
5,4,2,136,45,Jakarta,46411300,112491031,1700000000
5,5,0,189,84,Jakarta,46411301,112491032,1850000000
5,4,0,387,260,Jakarta,46411302,112491033,6800000000
5,6,0,132,60,Jakarta,46411303,112491034,1600000000
5,4,1,130,80,Jakarta,46411304,112491035,1710000000
5,4,0,135,197,Jakarta,46411305,112491036,3290000000
5,4,2,62,60,Jakarta,46411306,112491037,1300000000
5,4,2,150,95,Jakarta,46411307,112491038,1950000000
5,4,0,170,120,Jakarta,46411308,112491039,2500000000
5,7,0,180,121,Jakarta,46411309,112491040,2300000000
5,3,2,160,113,Jakarta,46411310,112491041,2400000000
5,4,0,85,60,Jakarta,46411311,112491042,1100000000
5,4,0,120,70,Jakarta,46411312,112491043,1550000000
5,4,1,80,40,Jakarta,46411313,112491044,11843707482
5,5,2,270,128,Jakarta,46411314,112491045,4000000000
5,4,0,411,503,Jakarta,46411315,112491046,22000000000
5,5,0,210,144,Jakarta,46411316,112491047,4300000000
5,5,2,850,450,Jakarta,46411317,112491048,29000000000
5,5,2,500,260,Jakarta,46411318,112491049,6900000000
5,4,4,200,204,Jakarta,46411319,112491050,5500000000
5,4,1,140,110,Jakarta,46411320,112491051,2640000000
5,4,3,200,150,Jakarta,46411321,112491052,3200000000
5,4,0,350,192,Jakarta,46411322,112491053,3800000000
5,4,0,160,128,Jakarta,46411323,112491054,3000000000
5,4,0,400,200,Jakarta,46411324,112491055,7700000000
5,4,2,185,175,Jakarta,46411325,112491056,6250000000
5,4,2,550,600,Jakarta,46411326,112491057,8900000000
